in_window,out_window,model,params,mae_train,mae_val,mae_test,epochs_run
90,30,MLP-Dropout,631831,0.0021695034721417473,0.001809758271098834,0.002334972894333869,15
90,30,MLP-BatchNorm,634391,0.009821246887558747,0.008930225993641891,0.01038571022858986,15
90,30,MLP-Wide,2657303,0.0021597259621097703,0.0018068413421977506,0.002344027993752429,15
90,30,MLP-Residual,799255,0.0022967031319263455,0.0018195800127549296,0.0026959154773420493,15
90,90,Buy & Hold,0,0.001752138166930076,0.0013731444831498823,0.0018244472594540464,0
90,90,MLP-Shallow,268055,0.0019043579018840132,0.001300212261236253,0.002419849177458319,15
90,90,MLP-Medium,566039,0.0012429730838280312,0.0010011098731245091,0.0012911573300353435,15
90,90,MLP-Deep,1234327,0.0012367530469742719,0.0010059258274373562,0.001276043001265061,15
90,90,MLP-Dropout,631831,0.0012375323880144287,0.0010073602494532596,0.001270766906746049,15
90,90,MLP-BatchNorm,634391,0.007921779899093621,0.007527772490506621,0.008281244183654038,15
90,90,MLP-Wide,2657303,0.001238861727035681,0.0010092078275518869,0.0012946336658206695,15
90,90,MLP-Residual,799255,0.0013387236167334178,0.0010115976808087956,0.0015504957049852703,15
